Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI Chg",Vol/OI,IV,Delta,Time
SMR,45.31,2025-09-26,6,Put,36.00,-23.03%,0.19,0.33,10215,10375,"+10,089",0.98,134.97%,-0.054493,2025-09-19
SMCI,45.41,2025-10-17,27,Put,30.00,-34.51%,0.18,0.25,12515,20865,"+10,077",0.6,99.91%,-0.044142,2025-09-19
AI,17.74,2025-09-26,6,Call,19.00,-6.15%,0.17,0.2,1188,16042,"+10,076",0.07,62.69%,0.244147,2025-09-19
MRNA,25.03,2025-09-26,6,Call,27.50,-8.95%,0.23,0.29,5038,10201,"+10,070",0.49,72.61%,0.192934,2025-09-19
CNK,27.61,2026-01-16,118,Put,24.00,-13.07%,0.85,0.95,771,20862,"+9,987",0.04,40.53%,-0.223634,2025-09-19
VALE,10.92,2025-12-19,90,Call,11.00,-1.29%,0.52,0.57,551,58666,"+9,972",0.01,31.54%,0.464175,2025-09-19
NVDA,175.5,2025-10-17,27,Call,190.00,-7.55%,2.02,2.09,8370,52232,"+9,955",0.16,33.13%,0.233622,2025-09-19
PLTR,180.35,2025-09-26,6,Call,180.00,+1.31%,5.95,6.1,29959,18355,"+9,662",1.63,50.90%,0.597044,2025-09-19
BAC,51.87,2025-10-17,27,Call,55.00,-5.26%,0.51,0.55,6612,19057,"+9,628",0.35,25.82%,0.250371,2025-09-19
NIO,7.34,2027-01-15,482,Call,7.00,+5.02%,2.61,2.64,1193,39477,"+9,598",0.03,72.11%,0.703387,2025-09-19
BYND,2.8,2025-10-17,27,Put,4.00,+41.34%,1.3,1.36,2002,19668,"+9,539",0.1,165.10%,-0.706877,2025-09-19
SOUN,16,2025-10-17,27,Call,17.00,-4.62%,1.42,1.43,11582,16636,"+9,378",0.7,97.81%,0.490187,2025-09-19
COIN,333.64,2025-09-26,6,Call,360.00,-5.12%,4.45,4.7,3424,10148,"+9,051",0.34,62.76%,0.28374,2025-09-19
KVUE,17.58,2025-10-17,27,Call,22.00,-19.96%,0.17,0.2,15615,43712,"+8,877",0.36,57.15%,0.136744,2025-09-19
MSTR,337,2025-09-26,6,Call,370.00,-7.32%,2.4,2.6,8469,10814,"+8,726",0.78,57.82%,0.182222,2025-09-19
CLSK,13.16,2025-10-17,27,Call,15.00,-10.13%,0.89,0.91,9616,11356,"+8,710",0.85,95.94%,0.41013,2025-09-19
OKLO,131.24,2025-09-26,6,Put,97.00,-28.27%,0.85,1.16,8963,8574,"+8,572",1.05,179.63%,-0.059289,2025-09-19
FHN,23.1,2025-10-17,27,Put,24.00,+3.90%,1.35,1.45,765,8500,"+8,499",0.09,33.06%,-0.644047,2025-09-19
OKLO,131.24,2025-09-26,6,Call,109.00,+19.40%,27.3,29.15,8621,8484,"+8,481",1.02,179.70%,0.854129,2025-09-19
RKLB,47.54,2025-09-26,6,Call,50.00,-4.62%,1.16,1.22,3014,17731,"+8,381",0.17,84.52%,0.360731,2025-09-19
NIO,7.34,2025-09-26,6,Call,8.00,-8.55%,0.21,0.22,14955,24926,"+8,366",0.6,119.11%,0.324136,2025-09-19
RKLB,47.54,2025-09-26,6,Put,44.00,-7.93%,0.5,0.56,793,15317,"+8,281",0.05,78.02%,-0.18877,2025-09-19
INTC,29.51,2025-10-17,27,Call,38.00,-28.47%,0.29,0.31,10500,13966,"+8,261",0.75,70.91%,0.116431,2025-09-19
AMD,157.32,2025-09-26,6,Call,165.00,-4.84%,1.25,1.29,22288,14882,"+8,229",1.5,47.88%,0.233628,2025-09-19
KOPN,2.73,2025-10-17,27,Call,3.00,-11.52%,0.35,0.4,9681,21722,"+8,085",0.45,165.77%,0.49624,2025-09-19
INTC,29.51,2025-09-26,6,Put,31.00,+4.80%,1.86,1.9,6835,7971,"+7,970",0.86,65.51%,-0.695962,2025-09-19
MRVL,73.23,2025-12-19,90,Call,80.00,-7.73%,6.1,6.2,1759,12887,"+7,890",0.14,55.59%,0.460391,2025-09-19
CLSK,13.16,2025-09-26,6,Call,13.00,+4.55%,0.95,1,7241,8719,"+7,881",0.83,89.61%,0.680542,2025-09-19
XYZ,76.51,2025-09-26,6,Call,79.00,-2.56%,0.86,0.92,643,8086,"+7,831",0.08,41.47%,0.331743,2025-09-19
PFE,24.36,2025-10-17,27,Call,26.00,-8.20%,0.08,0.1,570,38756,"+7,798",0.01,25.15%,0.125931,2025-09-19
MSTR,337,2025-09-26,6,Call,400.00,-16.03%,0.61,0.65,5824,14378,"+7,762",0.41,68.30%,0.049926,2025-09-19
GRAB,6.29,2026-01-16,118,Call,10.00,-56.49%,0.2,0.25,2554,61069,"+7,706",0.04,68.19%,0.17678,2025-09-19
JD,34.82,2026-01-16,118,Call,40.00,-13.96%,2.51,2.55,41543,338080,"+7,700",0.12,57.42%,0.376223,2025-09-19
HOOD,123.55,2025-10-17,27,Call,140.00,-12.20%,2.83,2.93,13305,16846,"+7,643",0.79,57.71%,0.262874,2025-09-19
CLSK,13.16,2025-09-26,6,Call,12.50,+8.22%,1.23,1.34,7959,8681,"+7,638",0.92,81.57%,0.810489,2025-09-19
HIMS,57.14,2025-09-26,6,Call,58.00,-0.31%,2.38,2.52,2247,8371,"+7,606",0.27,83.42%,0.512391,2025-09-19
MARA,17.67,2025-09-26,6,Put,16.50,-9.79%,0.11,0.13,544,12704,"+7,600",0.04,75.08%,-0.130321,2025-09-19
HOOD,123.55,2025-09-26,6,Put,115.00,-7.84%,0.75,0.81,4860,9426,"+7,579",0.52,62.24%,-0.142123,2025-09-19
COIN,333.64,2025-09-26,6,Call,400.00,-16.80%,0.9,0.95,3866,8503,"+7,470",0.45,77.38%,0.065675,2025-09-19
NVDA,175.5,2025-10-31,41,Call,195.00,-10.38%,2.38,2.43,633,8351,"+7,408",0.08,33.89%,0.220344,2025-09-19
PLTR,180.35,2025-09-26,6,Call,192.50,-5.54%,1.42,1.47,11917,8188,"+7,394",1.46,51.07%,0.217557,2025-09-19
CRWV,123.6,2025-10-17,27,Call,160.00,-28.14%,2.39,2.45,12785,10199,"+7,370",1.25,84.92%,0.172483,2025-09-19
HIMS,57.14,2025-09-26,6,Put,51.00,-11.80%,0.38,0.51,751,7992,"+7,244",0.09,88.34%,-0.120883,2025-09-19
RIOT,17.05,2025-09-26,6,Call,19.00,-8.82%,0.25,0.28,3700,8364,"+7,242",0.44,87.64%,0.245151,2025-09-19
NEE,71.19,2028-01-21,853,Call,105.00,-47.72%,2.35,2.7,866,7252,"+7,238",0.12,25.43%,0.202226,2025-09-19
PLTR,180.35,2025-09-26,6,Call,190.00,-4.17%,1.95,2.01,45438,12966,"+7,231",3.5,50.81%,0.279606,2025-09-19
HOOD,123.55,2025-09-26,6,Call,135.00,-8.19%,0.79,0.87,7120,14258,"+7,223",0.5,60.27%,0.165784,2025-09-19
CLSK,13.16,2025-12-19,90,Call,14.00,-2.79%,2.22,2.29,633,10961,"+7,213",0.06,88.09%,0.570857,2025-09-19
BAC,51.87,2025-10-17,27,Call,52.50,-0.48%,1.47,1.51,3948,28600,"+7,204",0.14,27.36%,0.497228,2025-09-19
HOOD,123.55,2025-09-26,6,Call,129.00,-3.38%,2.02,2.2,1020,7364,"+7,100",0.14,57.45%,0.342686,2025-09-19
WBD,19.43,2025-10-03,13,Call,20.00,-3.47%,0.69,0.83,5406,9609,"+7,087",0.56,75.83%,0.438089,2025-09-19
PLUG,2.22,2026-03-20,181,Call,3.50,-60.55%,0.31,0.36,15780,7915,"+7,053",1.99,111.51%,0.426088,2025-09-19
INTC,29.51,2025-09-26,6,Call,31.00,-4.80%,0.47,0.48,20709,8554,"+7,033",2.42,66.85%,0.308719,2025-09-19
DPRO,5.96,2026-01-16,118,Call,5.00,+18.43%,1.25,1.5,1038,20342,"+7,032",0.05,54.82%,0.802759,2025-09-19
INTC,29.51,2025-10-10,20,Call,26.00,+12.10%,3.85,3.95,510,9040,"+6,934",0.06,54.76%,0.859552,2025-09-19
SOUN,16,2025-11-21,62,Call,20.00,-23.08%,1.77,1.82,2248,7468,"+6,927",0.3,112.35%,0.420129,2025-09-19
U,45.6,2025-09-26,6,Call,55.00,-19.44%,0.14,0.15,9515,20414,"+6,893",0.47,88.38%,0.06622,2025-09-19
WOLF,2.17,2025-10-10,20,Put,1.00,-55.16%,0.31,0.32,8909,31682,"+6,886",0.28,584.04%,-0.101743,2025-09-19
INTC,29.51,2025-10-03,13,Put,31.00,+4.80%,2.11,2.14,5851,6765,"+6,763",0.86,57.59%,-0.644584,2025-09-19
JD,34.82,2026-03-20,181,Call,40.00,-13.96%,3.35,3.4,15017,45345,"+6,752",0.33,57.01%,0.40877,2025-09-19
MRNA,25.03,2025-09-26,6,Call,27.00,-6.97%,0.33,0.4,3270,8542,"+6,741",0.38,73.83%,0.255484,2025-09-19
AMZN,230.9,2025-10-03,13,Call,240.00,-3.68%,1.71,1.79,23167,20742,"+6,738",1.12,26.82%,0.255096,2025-09-19
INTC,29.51,2025-09-26,6,Put,27.50,-7.03%,0.17,0.19,3623,6735,"+6,725",0.54,56.72%,-0.148089,2025-09-19
GRAB,6.29,2026-04-17,209,Call,10.00,-56.49%,0.3,0.4,10874,26134,"+6,683",0.42,63.87%,0.2611,2025-09-19
MU,162.62,2025-10-17,27,Call,240.00,-47.48%,0.53,0.8,1218,6605,"+6,605",0.18,82.27%,0.053564,2025-09-19
HOOD,123.55,2025-10-10,20,Put,80.00,-35.89%,0.02,0.13,3589,7113,"+6,550",0.5,88.06%,-0.011601,2025-09-19
CLSK,13.16,2025-09-26,6,Call,14.50,-6.46%,0.36,0.38,683,6940,"+6,536",0.1,102.26%,0.342146,2025-09-19
EFC,13.2,2025-10-17,27,Put,12.50,-5.09%,0.15,0.2,1060,8870,"+6,488",0.12,32.28%,-0.259821,2025-09-19
INTC,29.51,2025-09-26,6,Put,28.50,-3.65%,0.41,0.43,5256,6484,"+6,409",0.81,57.00%,-0.290823,2025-09-19
NVDA,175.5,2025-10-31,41,Call,185.00,-4.72%,5,5.1,966,8746,"+6,393",0.11,34.45%,0.38181,2025-09-19
AAPL,247.58,2025-09-26,6,Call,237.50,+3.26%,8.55,8.75,9640,10155,"+6,381",0.95,22.23%,0.884726,2025-09-19
COIN,333.64,2025-09-26,6,Call,380.00,-10.96%,1.89,2,2373,7260,"+6,377",0.33,69.10%,0.130971,2025-09-19
K,77.38,2025-11-21,62,Put,77.50,+0.16%,0.05,3.8,599,6480,"+6,370",0.09,15.87%,-0.48515,2025-09-19
NVDA,175.5,2025-09-26,6,Call,182.50,-3.30%,0.9,0.94,29497,31083,"+6,296",0.95,31.91%,0.224833,2025-09-19
CMG,39.15,2025-10-31,41,Call,42.00,-6.82%,1.41,1.5,2648,11592,"+6,277",0.23,46.51%,0.376437,2025-09-19
FLNC,9.47,2025-10-17,27,Call,9.00,+3.85%,1.05,1.2,7476,6682,"+6,255",1.12,90.98%,0.616077,2025-09-19
PYPL,67.88,2025-09-26,6,Call,71.00,-4.08%,0.28,0.29,2135,8808,"+6,202",0.24,33.38%,0.185304,2025-09-19
MSTR,337,2025-10-10,20,Call,400.00,-16.03%,3.3,3.6,1766,8022,"+6,144",0.22,56.91%,0.15117,2025-09-19
AAL,12.41,2026-05-15,237,Put,12.00,-3.61%,1.39,1.42,1527,6132,"+6,132",0.25,42.48%,-0.38119,2025-09-19
MU,162.62,2025-09-26,6,Put,155.00,-4.75%,4.55,4.7,3152,8124,"+6,113",0.39,97.38%,-0.32387,2025-09-19
MU,162.62,2025-09-26,6,Put,157.50,-3.21%,5.6,5.75,963,6620,"+6,102",0.15,98.57%,-0.372138,2025-09-19
MARA,17.67,2025-09-26,6,Call,21.00,-14.82%,0.17,0.18,5755,7243,"+6,102",0.79,97.87%,0.150842,2025-09-19
NVDA,175.5,2025-09-26,6,Put,177.50,+0.47%,3.35,3.45,16257,10858,"+6,088",1.5,33.09%,-0.530553,2025-09-19
PANW,207.28,2025-09-26,6,Put,207.50,-0.33%,2.65,2.77,875,6095,"+6,079",0.14,29.20%,-0.451206,2025-09-19
WOLF,2.17,2025-10-03,13,Call,2.00,+10.31%,0.35,0.45,8607,18062,"+6,062",0.48,195.88%,0.685633,2025-09-19
CRWV,123.6,2025-09-26,6,Call,130.00,-4.12%,3.35,3.4,31800,10593,"+5,931",3,84.95%,0.378484,2025-09-19
LULU,168.65,2025-09-26,6,Put,170.00,+0.22%,3.4,3.55,956,6467,"+5,867",0.15,38.14%,-0.504014,2025-09-19
GRAB,6.29,2025-10-17,27,Call,7.00,-9.55%,0.2,0.25,4017,33560,"+5,857",0.12,64.39%,0.339127,2025-09-19
LULU,168.65,2025-09-26,6,Put,162.50,-4.20%,0.82,0.89,1620,6223,"+5,854",0.26,38.67%,-0.183355,2025-09-19
OPEN,9.18,2026-01-16,118,Call,12.00,-25.39%,2.63,2.72,870,14670,"+5,843",0.06,158.16%,0.58413,2025-09-19
CMG,39.15,2026-01-16,118,Call,40.40,-2.75%,3.15,3.25,1549,15729,"+5,822",0.1,39.06%,0.519072,2025-09-19
MU,162.62,2025-10-17,27,Call,190.00,-16.76%,3.4,3.5,1421,8318,"+5,758",0.17,65.78%,0.22361,2025-09-19
RBRK,80.18,2025-10-17,27,Call,85.00,-5.95%,3.1,3.4,1914,7950,"+5,732",0.24,58.69%,0.396658,2025-09-19
MARA,17.67,2025-09-26,6,Put,17.00,-7.05%,0.19,0.2,1687,12418,"+5,634",0.14,72.66%,-0.200831,2025-09-19
NVDA,175.5,2025-10-17,27,Call,180.00,-1.88%,5.15,5.25,18995,73054,"+5,609",0.26,33.59%,0.450689,2025-09-19
ETNB,14.92,2025-12-19,90,Call,15.00,-0.87%,0.1,0.15,1032,5967,"+5,553",0.17,3.07%,0.535904,2025-09-19
K,77.38,2025-11-21,62,Put,70.00,-9.54%,0,2.8,716,5509,"+5,455",0.13,31.87%,-0.198736,2025-09-19
MRVL,73.23,2025-10-17,27,Call,80.00,-7.73%,2.17,2.24,3079,16234,"+5,451",0.19,53.48%,0.337579,2025-09-19
NVDA,175.5,2025-09-26,6,Call,187.50,-6.13%,0.26,0.27,24405,23086,"+5,419",1.06,32.16%,0.080003,2025-09-19
INTC,29.51,2025-09-26,6,Put,28.00,-5.34%,0.27,0.28,8608,5561,"+5,409",1.55,56.77%,-0.212973,2025-09-19
BMNR,58.64,2025-11-21,62,Call,65.00,-6.05%,11.65,11.85,12013,18578,"+5,365",0.65,130.26%,0.568366,2025-09-19
IBM,265.6,2025-09-26,6,Call,275.00,-3.23%,1.32,1.6,947,5632,"+5,360",0.17,32.45%,0.230879,2025-09-19
INTC,29.51,2025-12-19,90,Call,32.00,-8.18%,2.25,2.29,1032,23666,"+5,348",0.04,54.06%,0.443651,2025-09-19
AAPL,247.58,2025-09-26,6,Call,242.50,+1.22%,4.65,4.8,62311,10975,"+5,340",5.68,23.19%,0.673636,2025-09-19
MU,162.62,2025-09-26,6,Put,160.00,-1.68%,6.75,6.9,6404,8378,"+5,321",0.76,98.90%,-0.420263,2025-09-19
INTC,29.51,2026-01-16,118,Call,34.00,-14.94%,1.96,2.09,590,6021,"+5,317",0.1,52.57%,0.383438,2025-09-19
SMCI,45.41,2025-09-26,6,Call,55.00,-20.06%,0.11,0.13,2842,6313,"+5,309",0.45,86.95%,0.057302,2025-09-19
HOOD,123.55,2025-10-17,27,Call,150.00,-20.21%,1.44,1.51,7017,9540,"+5,292",0.74,59.61%,0.150399,2025-09-19
HOOD,123.55,2025-09-26,6,Call,127.00,-1.78%,2.68,2.83,10268,5759,"+5,272",1.78,57.86%,0.424235,2025-09-19
INTC,29.51,2025-09-26,6,Put,29.00,-1.96%,0.58,0.6,19381,5256,"+5,249",3.69,57.69%,-0.378286,2025-09-19
WBD,19.43,2025-10-17,27,Call,22.00,-13.81%,0.47,0.58,7205,42940,"+5,244",0.17,69.17%,0.282068,2025-09-19
DDD,2.43,2025-10-17,27,Call,2.50,-2.04%,0.3,0.35,1001,5880,"+5,226",0.17,135.27%,0.554772,2025-09-19
AMZN,230.9,2025-09-26,6,Put,230.00,-0.64%,2.3,2.54,17173,8708,"+5,185",1.97,27.10%,-0.413445,2025-09-19
AMD,157.32,2025-09-26,6,Put,152.50,-3.11%,1.67,1.71,4061,7837,"+5,113",0.52,45.86%,-0.282032,2025-09-19
BITF,3.1,2025-10-10,20,Call,3.50,-12.18%,0.4,0.43,747,5985,"+5,083",0.12,188.59%,0.486326,2025-09-19
RGTI,26.52,2025-10-03,13,Put,17.00,-40.39%,0.15,0.2,935,5448,"+5,033",0.17,179.26%,-0.04431,2025-09-19
MSFT,515.1,2025-10-03,13,Call,540.00,-4.26%,1.13,1.24,904,15692,"+5,003",0.06,19.04%,0.134123,2025-09-19
INTC,29.51,2025-10-10,20,Call,35.00,-18.32%,0.37,0.41,1661,5121,"+4,971",0.32,68.13%,0.166797,2025-09-19
INTC,29.51,2025-09-26,6,Put,32.00,+8.18%,2.7,2.77,2406,4956,"+4,953",0.49,70.96%,-0.792964,2025-09-19
OPEN,9.18,2025-10-24,34,Call,21.00,-119.44%,0.43,0.46,3923,5563,"+4,917",0.71,205.88%,0.176088,2025-09-19
MRVL,73.23,2025-10-17,27,Call,75.00,-1.00%,3.85,4,1491,19896,"+4,838",0.07,52.30%,0.50875,2025-09-19
UEC,12.36,2025-10-17,27,Call,14.00,-13.36%,0.55,0.7,2015,9294,"+4,806",0.22,91.28%,0.356387,2025-09-19
OPEN,9.18,2025-09-26,6,Call,10.50,-9.72%,0.47,0.49,102709,11975,"+4,805",8.58,171.00%,0.378199,2025-09-19
GGAL,27.57,2025-11-21,62,Put,25.00,-5.48%,2.7,4.5,3084,11019,"+4,747",0.28,98.42%,-0.362789,2025-09-19
